,text,Country,sentiment,Collected at
16,"10 SKILLS That Are HARD to Learn, BUT Will Pay Off FOREVER! https://t.co/lDE4SZtIad via @YouTube🌶🌶🌶",Switzerland,-0.36458333333333337,2021-01-06 23:39:29
17,Enjoyed reading this list a lot! https://t.co/hM3ufpRQLT,Switzerland,0.625,2021-01-06 23:37:14
18,"youngerman Cedmtn, Man from #Estavayer-le-Lac, 23 years https://t.co/VLT3JE6wNO",Switzerland,0.0,2021-01-06 23:36:32
19,@ConnieWallace10 @standforbetter She is even too stupid to foresee consequences of her actions. If I would try to s… https://t.co/zZ1xx5M2pQ,Switzerland,-0.7999999999999999,2021-01-06 23:35:35
20,TEST_geocode: ed902fe7-f46c-441f-8a3d-daace83be454,Tanzania,0.0,2021-01-06 23:48:31
21,Anyway if you think anthony martial deserves to start this season slap yourself several times and go to bed,Tanzania,0.0,2021-01-06 23:37:58
22,"Just posted a video @ Stone Town, Zanzibar Urban/West, Tanzania https://t.co/e3zY9wYlmo",Tanzania,0.0,2021-01-06 23:21:33
23,My country 🇹🇿 https://t.co/sPPe7M82qk,Tanzania,0.0,2021-01-06 23:16:49
24,"Leave us out of this man, at least we know how to rig elections . https://t.co/c5MhlcqkHO",Tanzania,-0.3,2021-01-06 23:14:33
25,“Man’s Greatest flaw: the illusion of control” - Reginald Hargreeves [From the Umbrella Academy],Tanzania,1.0,2021-01-06 23:02:18
26,Eloise is Beautiful woooowww!!!,Tanzania,1.0,2021-01-06 23:01:50
27,Lets talke about the german lesbians you lot signed to stay at 9th position https://t.co/gBhSoXjzpE,Tanzania,0.0,2021-01-06 22:50:07
28,TEST_geocode: 2054745d-72b1-4843-bed2-a1201f3001ff,Tanzania,0.0,2021-01-06 22:48:32
29,Everything reminds me of us.. https://t.co/UBrmSfsFxk,Tanzania,0.0,2021-01-06 22:18:36
30,TEST_geocode: 7b6185db-a912-4b28-bc11-4c5d6044b302,Tanzania,0.0,2021-01-06 22:18:10
31,@sumaMaumba How i wish things go differently for her,Tanzania,0.0,2021-01-06 22:11:26
32,@JMariotz No Zlatan no party in a big game,Tanzania,-0.2,2021-01-06 22:07:21
33,"Democracy is fragile,"" ""To preserve it requires leaders who are devoted not in personal power, but in the common good.""Joe Bidden",Tanzania,0.1,2021-01-06 22:07:02
34,Trump and Ivanka calls them Patriots and lovers of democracy 😂😂😂 https://t.co/iDBuQAZAol,Tanzania,0.0,2021-01-06 22:04:56
35,I’m losing my shit https://t.co/rE7lV57QvC,Tanzania,-0.2,2021-01-06 22:02:16
36,Looks like a movie 😂😂😂 https://t.co/63FZ37utAR,Tanzania,0.0,2021-01-06 22:00:49
37,@JMariotz @George_Ambangil He never learn,Tanzania,0.0,2021-01-06 22:00:18
